purification.plate,purification row,purification col,well position,purification well,source flask,mL culture,uL resin,mM NaCl for lysis and wash,uL 0mM NaCl lysis buffer,uL 500mM NaCl lysis buffer,mM NaCl in lysis and first two washes,mM NaCl in last 2 washes,purpose,resin to use,discard,discard reason,,uL Co-NTA required,% slurry,uL slurry to add,uL slurry added,uL Ni-NTA required,OD NanoDrop at harvest,mM NaCl in lysis and first two washes,replace well with,move cells to,add in,uL elution
20,D,8,D8,20D8,1,2.2,20,500,0,200,500,0,,Co-NTA,,,,20,20,100,20,,,,,,,
20,E,8,E8,20E8,1,0.4,20,500,0,200,500,0,,Co-NTA,,,,20,20,100,20,,,,,,,
20,F,8,F8,20F8,1,0.8,20,500,0,200,500,0,,Co-NTA,,,,20,20,100,20,,,,,,,
20,G,8,G8,20G8,1,1.5,20,500,0,200,500,0,,Co-NTA,,,,20,20,100,20,,,,,,,
20,H,8,H8,20H8,1,2.2,20,500,0,200,500,0,,Co-NTA,,,,20,20,100,20,,,,,,,
20,A,9,A9,20A9,2,0.4,10,500,0,200,500,0,,Co-NTA,,,,10,20,50,10,,,,,,,
20,B,9,B9,20B9,2,0.8,10,500,0,200,500,0,,Co-NTA,,,,10,20,50,10,,,,,,,
20,C,9,C9,20C9,2,1.5,10,500,0,200,500,0,,Co-NTA,,,,10,20,50,10,,,,,,,
20,D,9,D9,20D9,2,2.2,10,500,0,200,500,0,,Co-NTA,,,,10,20,50,10,,,,,,,
20,E,9,E9,20E9,2,0.4,10,500,0,200,500,0,,Co-NTA,,,,10,20,50,10,,,,,,,
20,F,9,F9,20F9,2,0.8,10,500,0,200,500,0,,Co-NTA,,,,10,20,50,10,,,,,,,
20,G,9,G9,20G9,2,1.5,10,500,0,200,500,0,,Co-NTA,,,,10,20,50,10,,,,,,,
20,H,9,H9,20H9,2,2.2,10,500,0,200,500,0,,Co-NTA,,,,10,20,50,10,,,,,,,
20,A,10,A10,20A10,3,0.4,10,500,0,200,500,0,,Co-NTA,,,,10,20,50,10,,,,,,,
20,B,10,B10,20B10,3,0.8,10,500,0,200,500,0,,Co-NTA,,,,10,20,50,10,,,,,,,
20,C,10,C10,20C10,3,1.5,10,500,0,200,500,0,,Co-NTA,,,,10,20,50,10,,,,,,,
20,D,10,D10,20D10,3,2.2,10,500,0,200,500,0,,Co-NTA,,,,10,20,50,10,,,,,,,
20,E,10,E10,20E10,3,0.4,10,500,0,200,500,0,,Co-NTA,,,,10,20,50,10,,,,,,,
20,F,10,F10,20F10,3,0.8,10,500,0,200,500,0,,Co-NTA,,,,10,20,50,10,,,,,,,
20,G,10,G10,20G10,3,1.5,10,500,0,200,500,0,,Co-NTA,,,,10,20,50,10,,,,,,,
20,H,10,H10,20H10,3,2.2,10,500,0,200,500,0,,Co-NTA,,,,10,20,50,10,,,,,,,
20,A,11,A11,20A11,4,2,20,500,0,200,500,0,,Co-NTA,,,,20,20,100,20,,,,,,,
20,B,11,B11,20B11,5,2,20,500,0,200,500,0,,Co-NTA,,,,20,20,100,20,,,,,,,
20,C,11,C11,20C11,6,2,20,500,0,200,500,0,,Co-NTA,,,,20,20,100,20,,,,,,,
20,D,11,D11,20D11,7,2,20,500,0,200,500,0,,Co-NTA,,,,20,20,100,20,,,,,,,
20,E,11,E11,20E11,8,2,20,500,0,200,500,0,,Co-NTA,,,,20,20,100,20,,,,,,,
20,F,11,F11,20F11,4,2,20,500,0,200,500,0,,Co-NTA,,,,20,20,100,20,,,,,,,
20,G,11,G11,20G11,5,2,20,500,0,200,500,0,,Co-NTA,,,,20,20,100,20,,,,,,,
20,H,11,H11,20H11,6,2,20,500,0,200,500,0,,Co-NTA,,,,20,20,100,20,,,,,,,
20,A,12,A12,20A12,7,2,20,500,0,200,500,0,,Co-NTA,,,,20,20,100,20,,,,,,,
20,B,12,B12,20B12,8,2,20,500,0,200,500,0,,Co-NTA,,,,20,20,100,20,,,,,,,
20,C,12,C12,20C12,4,2,20,500,0,200,500,0,,Co-NTA,,,,20,20,100,20,,,,,,,
20,D,12,D12,20D12,5,2,20,500,0,200,500,0,,Co-NTA,,,,20,20,100,20,,,,,,,
20,E,12,E12,20E12,6,2,20,500,0,200,500,0,,Co-NTA,,,,20,20,100,20,,,,,,,
20,F,12,F12,20F12,7,2,20,500,0,200,500,0,,Co-NTA,,,,20,20,100,20,,,,,,,
20,G,12,G12,20G12,8,2,20,500,0,200,500,0,,Co-NTA,,,,20,20,100,20,,,,,,,
20,H,12,H12,20H12,7,2,20,500,0,200,500,0,,Co-NTA,,,,20,20,100,20,,,,,,,
